listing_id,date_scraped,date_posted,title,estate,district,floor,size_sqft,rooms,price,unit_price,sold_price,views,source,url
4e144d94ebbe,2026-05-23,15 小時前,《* 27XX萬* 》高層靚海景 正南3房1套,一號銀海,奧運,高層,968,3,"HKD 27,880,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3859391
ba629bb27bc7,2026-05-23,16 小時前,《* 1700萬* 》新鴻基豪宅3房套首選!!,瓏璽,奧運,低層,963,3,"HKD 17,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3859212
412393110efc,2026-05-23,30 分鐘前,{Ken}靚裝即住，3房1套，6 0 2 3 3 4 1 5,錦繡花園,元朗,,915,3,"HKD 9,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3859718
5f6f9c0ef5aa,2026-05-23,11 小時前,元朗【小全幢單邊位。元朗南重點發展】村屋,村屋,元朗,,1200,,"HKD 4,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3859597
990047f05da3,2026-05-23,13 小時前,【元朗罕有放盤！1950呎全幢泊車獨立屋 798萬超值入手】,村屋,元朗,,1950,3,"HKD 7,980,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3401628
7eb38bf3611a,2026-05-30,,綠楊新邨 J座,綠楊新邨 J座,荃灣,中層,,3,"HKD 7,500,000",,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E7%B6%A0%E6%A5%8A%E6%96%B0%E9%82%A8-J%E5%BA%A7_CMI642
2f7887c76b21,2026-05-30,24 小時前,匯璽優質4房,匯璽,南昌,中層,1301,4,,,,,28hse.com,https://www.28hse.com/buy/apartment/property-3866809
587446ae7748,2026-05-30,,海景四房雙套連工人房套,匯璽,南昌,中層,1342,4,"HKD 34,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3866306
bb85b542c5fd,2026-05-30,22 小時前,【有匙】鳳凰樓層ღ實用率高ღ家庭客必選ღ快走盤ღ,維港灣,奧運,高層,904,3,"HKD 20,300,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3866966
15cd02ac88ae,2026-05-30,1 小時前,"《北部都會》洪水橋鐵路-大花園至尊-4房洋房,為您搜羅全港好房",尚築,元朗,,2536,4,"HKD 24,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3868210
326712942318,2026-05-30,10 小時前,罕見放盤+洪水橋全幢+大花園+快快立即約睇,村屋,元朗,,2100,,"HKD 10,680,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3016532
266a9f353be8,2026-05-30,15 小時前,高層四房套！歡迎約睇！,溱柏,元朗,高層,954,4,"HKD 8,680,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3867899
